,question_link,question,No_answer
0,https://leetcode.cn/problems/can-i-win/,464. 我能赢吗,226
1,https://leetcode.cn/problems/two-sum/,1. 两数之和,17763
2,https://leetcode.cn/problems/add-two-numbers/,2. 两数相加,9547
3,https://leetcode.cn/problems/longest-substring-without-repeating-characters/,3. 无重复字符的最长子串,10467
4,https://leetcode.cn/problems/median-of-two-sorted-arrays/,4. 寻找两个正序数组的中位数,5264
5,https://leetcode.cn/problems/longest-palindromic-substring/,5. 最长回文子串,5640
6,https://leetcode.cn/problems/zigzag-conversion/,6. Z 字形变换,3630
7,https://leetcode.cn/problems/reverse-integer/,7. 整数反转,6287
8,https://leetcode.cn/problems/string-to-integer-atoi/,8. 字符串转换整数 (atoi),3437
9,https://leetcode.cn/problems/palindrome-number/,9. 回文数,6498
10,https://leetcode.cn/problems/regular-expression-matching/,10. 正则表达式匹配,1658
11,https://leetcode.cn/problems/container-with-most-water/,11. 盛最多水的容器,4145
12,https://leetcode.cn/problems/integer-to-roman/,12. 整数转罗马数字,2311
13,https://leetcode.cn/problems/roman-to-integer/,13. 罗马数字转整数,5164
14,https://leetcode.cn/problems/longest-common-prefix/,14. 最长公共前缀,5177
15,https://leetcode.cn/problems/3sum/,15. 三数之和,4425
16,https://leetcode.cn/problems/3sum-closest/,16. 最接近的三数之和,1934
17,https://leetcode.cn/problems/letter-combinations-of-a-phone-number/,17. 电话号码的字母组合,4252
18,https://leetcode.cn/problems/4sum/,18. 四数之和,2136
19,https://leetcode.cn/problems/remove-nth-node-from-end-of-list/,19. 删除链表的倒数第 N 个结点,5818
20,https://leetcode.cn/problems/valid-parentheses/,20. 有效的括号,7440
21,https://leetcode.cn/problems/merge-two-sorted-lists/,21. 合并两个有序链表,5257
22,https://leetcode.cn/problems/generate-parentheses/,22. 括号生成,3656
23,https://leetcode.cn/problems/merge-k-sorted-lists/,23. 合并K个升序链表,3174
24,https://leetcode.cn/problems/swap-nodes-in-pairs/,24. 两两交换链表中的节点,3388
25,https://leetcode.cn/problems/reverse-nodes-in-k-group/,25. K 个一组翻转链表,2988
26,https://leetcode.cn/problems/remove-duplicates-from-sorted-array/,26. 删除有序数组中的重复项,6109
27,https://leetcode.cn/problems/remove-element/,27. 移除元素,5603
28,https://leetcode.cn/problems/implement-strstr/,28. 实现 strStr(),4401
29,https://leetcode.cn/problems/divide-two-integers/,29. 两数相除,1291
30,https://leetcode.cn/problems/substring-with-concatenation-of-all-words/,30. 串联所有单词的子串,852
31,https://leetcode.cn/problems/next-permutation/,31. 下一个排列,2441
32,https://leetcode.cn/problems/longest-valid-parentheses/,32. 最长有效括号,1740
33,https://leetcode.cn/problems/search-in-rotated-sorted-array/,33. 搜索旋转排序数组,3529
34,https://leetcode.cn/problems/find-first-and-last-position-of-element-in-sorted-array/,34. 在排序数组中查找元素的第一个和最后一个位置,5171
35,https://leetcode.cn/problems/search-insert-position/,35. 搜索插入位置,5603
36,https://leetcode.cn/problems/valid-sudoku/,36. 有效的数独,1996
37,https://leetcode.cn/problems/sudoku-solver/,37. 解数独,1180
38,https://leetcode.cn/problems/count-and-say/,38. 外观数列,2873
39,https://leetcode.cn/problems/combination-sum/,39. 组合总和,2883
40,https://leetcode.cn/problems/combination-sum-ii/,40. 组合总和 II,2006
41,https://leetcode.cn/problems/first-missing-positive/,41. 缺失的第一个正数,1776
42,https://leetcode.cn/problems/trapping-rain-water/,42. 接雨水,3284
43,https://leetcode.cn/problems/multiply-strings/,43. 字符串相乘,1524
44,https://leetcode.cn/problems/wildcard-matching/,44. 通配符匹配,710
45,https://leetcode.cn/problems/jump-game-ii/,45. 跳跃游戏 II,2452
46,https://leetcode.cn/problems/permutations/,46. 全排列,4331
47,https://leetcode.cn/problems/permutations-ii/,47. 全排列 II,2145
48,https://leetcode.cn/problems/rotate-image/,48. 旋转图像,3138
49,https://leetcode.cn/problems/group-anagrams/,49. 字母异位词分组,1874
50,https://leetcode.cn/problems/n-queens/,51. N 皇后,2220
51,https://leetcode.cn/problems/n-queens-ii/,52. N皇后 II,745
52,https://leetcode.cn/problems/maximum-subarray/,53. 最大子数组和,5327
53,https://leetcode.cn/problems/spiral-matrix/,54. 螺旋矩阵,2844
54,https://leetcode.cn/problems/jump-game/,55. 跳跃游戏,3666
55,https://leetcode.cn/problems/merge-intervals/,56. 合并区间,3193
56,https://leetcode.cn/problems/insert-interval/,57. 插入区间,1139
57,https://leetcode.cn/problems/length-of-last-word/,58. 最后一个单词的长度,3421
58,https://leetcode.cn/problems/spiral-matrix-ii/,59. 螺旋矩阵 II,2397
59,https://leetcode.cn/problems/permutation-sequence/,60. 排列序列,1188
60,https://leetcode.cn/problems/rotate-list/,61. 旋转链表,2503
61,https://leetcode.cn/problems/unique-paths/,62. 不同路径,3234
62,https://leetcode.cn/problems/unique-paths-ii/,63. 不同路径 II,2298
63,https://leetcode.cn/problems/minimum-path-sum/,64. 最小路径和,2705
64,https://leetcode.cn/problems/valid-number/,65. 有效数字,768
65,https://leetcode.cn/problems/plus-one/,66. 加一,4413
66,https://leetcode.cn/problems/add-binary/,67. 二进制求和,2258
67,https://leetcode.cn/problems/text-justification/,68. 文本左右对齐,670
68,https://leetcode.cn/problems/sqrtx/,69. x 的平方根,2701
69,https://leetcode.cn/problems/climbing-stairs/,70. 爬楼梯,4872
70,https://leetcode.cn/problems/simplify-path/,71. 简化路径,1402
71,https://leetcode.cn/problems/edit-distance/,72. 编辑距离,2164
72,https://leetcode.cn/problems/set-matrix-zeroes/,73. 矩阵置零,1396
73,https://leetcode.cn/problems/search-a-2d-matrix/,74. 搜索二维矩阵,2341
74,https://leetcode.cn/problems/sort-colors/,75. 颜色分类,2657
75,https://leetcode.cn/problems/minimum-window-substring/,76. 最小覆盖子串,2308
76,https://leetcode.cn/problems/combinations/,77. 组合,2089
77,https://leetcode.cn/problems/subsets/,78. 子集,3282
78,https://leetcode.cn/problems/word-search/,79. 单词搜索,1968
79,https://leetcode.cn/problems/remove-duplicates-from-sorted-array-ii/,80. 删除有序数组中的重复项 II,1585
80,https://leetcode.cn/problems/search-in-rotated-sorted-array-ii/,81. 搜索旋转排序数组 II,1232
81,https://leetcode.cn/problems/remove-duplicates-from-sorted-list-ii/,82. 删除排序链表中的重复元素 II,2230
82,https://leetcode.cn/problems/remove-duplicates-from-sorted-list/,83. 删除排序链表中的重复元素,2692
